name,lon,lat,,val
Boys Washroom A1 ,76.81866981,23.0617007,,b
Boys Washroom A2,76.81874989,23.06284265,,b
Boys Washroom B,76.83707544,23.06242268,,b
Girls Washroom B,76.83707544,23.06373546,,g
Watercooler A,76.82226148,23.0595435,,w
Faculty Cabin A,76.81846724,23.05670212,,f
Faculty Cabin C,76.83713427,23.05665627,,f
AB-024,76.83242295,23.0579433,A11+A12+A13,a1
AB-001,76.8252235,23.05793691,A11+A12+A13,a1
AB-002,76.82286343,23.05791562,A11+A12+A13,a1
AB-003,76.82105964,23.05787954,A11+A12+A13,a1
AB-001,76.8252235,23.05793691,B11+B12+B13+B14,b1
AB-002,76.82286343,23.05791562,B11+B12+B13+B14,b1
AB-003,76.82105964,23.05787954,B11+B12+B13+B14,b1
AB-001,76.8252235,23.05793691,C11+C12+C13+C14,c1
AB-002,76.82286343,23.05791562,C11+C12+C13+C14,c1
AB-003,76.82105964,23.05787954,C11+C12+C13+C14,c1
AB-024,76.83242295,23.0579433,C11+C12+C13+C14,c1
AB-001,76.8252235,23.05793691,D11+D12+D13+D14,d1
AB-002,76.82286343,23.05791562,D11+D12+D13+D14,d1
AB-003,76.82105964,23.05787954,D11+D12+D13+D14,d1
AB-007,76.81850998,23.05993224,D11+D12+D13+D14,d1
AB-025,76.83062086,23.05790886,D11+D12+D13+D14,d1
AB-024,76.83242295,23.0579433,D11+D12+D13+D14,d1
AB-023,76.83422226,23.05787954,D11+D12+D13+D14,d1
AB-001,76.8252235,23.05793691,E11+E12+E13+E14,e1
AB-002,76.82286343,23.05791562,E11+E12+E13+E14,e1
AB-003,76.82105964,23.05787954,E11+E12+E13+E14,e1
AB-007,76.81850998,23.05993224,E11+E12+E13+E14,e1
AB-023,76.83422226,23.05787954,E11+E12+E13+E14,e1
AB-025,76.83062086,23.05790886,F11+F12+F13+F14,f1
AB-001,76.8252235,23.05793691,F11+F12+F13+F14,f1
AB-003,76.82105964,23.05787954,F11+F12+F13+F14,f1
AB-007,76.81850998,23.05993224,F11+F12+F13+F14,f1
AB-025,76.83062086,23.05790886,D21+D22+D23+D24,d2
AB-024,76.83242295,23.0579433,D21+D22+D23+D24,d2
AB-023,76.83422226,23.05787954,D21+D22+D23+D24,d2
AB-001,76.8252235,23.05793691,D21+D22+D23+D24,d2
AB-003,76.82105964,23.05787954,D21+D22+D23+D24,d2
AB-007,76.81850998,23.05993224,D21+D22+D23+D24,d2
