name,lon,lat
IT Service Room(AB211),76.85654396,23.06693685
AB213,76.86572047,23.06528498
Eletrical StudioAB214),76.8736003,23.06519321
AB216,76.87669239,23.06528498
AB217,76.88058243,23.06537675
AB218,76.88357477,23.06537675
AB219,76.88926022,23.06730392
Stairs D,76.8896592,23.06436726
AB222,76.88866175,23.06161409
Girls Washroom(New Wing),76.88816303,23.0594115
AB224,76.88816303,23.05537334
lift B,76.85355162,23.06473435
lift A,76.85375111,23.05078438
Stairs A,76.85794038,23.0511515
Stairs B,76.85802125,23.06379638
AB210,76.85909418,23.06387864
stairs C,76.88913621,23.05088029
AB226,76.8874374,23.05088029
Faculty Cabin(AB227),76.88913621,23.04758937
Boys Washroom B,76.85802125,23.06165749
Boys Washroom A,76.85766361,23.05951857
Faculty Cabin 3(AB203),76.8567695,23.04791847
English Studio(AB206),76.85721656,23.05548744
Library,76.87313168,23.05746189
AB228,76.88421861,23.05005757
AB229,76.88093323,23.0499382
AB230,76.87722574,23.04988038
AB231,76.87370677,23.0499382
Studio 1(AB201),76.86949658,23.05011166
Faculty Cabin(AB202A),76.86585193,23.04982255
Faculty Cabin(AB202B),76.86201877,23.0499382
MPCST Project Lab(AB221),76.88206432,23.06167554
Recording Studio(AB209),76.86440664,23.06167554
AB205,76.864658,23.05340747
AB225,76.88237852,23.05369657
