lon,lat,name
76.85007494,23.07862959,Lab Complex
76.85003487,23.07802458,Architecture Block
76.85138871,23.07767169,Academic Block
76.85062682,23.07729726,Cafeteria
76.84964591,23.07621821,Multi-Purpose Hall
76.84975224,23.07550545,University Entrance
76.85240444,23.07527325,Girls Hostel Block-1
76.85399192,23.07552481,Girls Hostel Block-2
76.85404259,23.07412769,Football Field
76.85991614,23.07534196,Boys Hostel Block-1
76.85911672,23.07421186,Cricket Ground
76.8595076,23.0734072,"Boys Hostel Blocks-2, 3, 4, 5, 6"
76.86009937,23.07424859,Volleyball Field
